VTP Account ID,JAMS Account ID,VTP Account Name,SF Account Name,SF Account ID
335,1317,NorthBay Healthcare : Public Affairs,NorthBay Healthcare Corporation,0014000000O7KYq
336,1317,NorthBay Healthcare : Purchasing,NorthBay Healthcare Corporation,0014000000O7KYq
338,1071,Northwestern Memorial Hospital : Patient Representative Department,Northwestern Memorial Hospital,0014000000Evid6
340,2007,Northwestern University: National Children's Study,Northwestern University-National Children's Study,0014000000VV7NP
349,630,OHSU : Casey Eye Institute,OHSU - Oregon Health Sciences University,0014000000Evinl
348,1780,OHSU : Department of Public Health & Preventive Medicine,OHSU - Oregon Health Sciences University,0014000000Evinl
343,1409,OHSU : Emergency Medicine,OHSU - Oregon Health Sciences University,0014000000Evinl
350,1160,OHSU : Family Medicine,OHSU - Oregon Health Sciences University,0014000000Evinl
344,1622,OHSU : Health Discoveries Program,OHSU - Oregon Health Sciences University,0014000000Evinl
345,1527,OHSU : Hemophilia,OHSU - Oregon Health Sciences University,0014000000Evinl
351,1280,OHSU : Integrity Department,OHSU - Oregon Health Sciences University,0014000000Evinl
346,1879,OHSU : Knight Cancer Institute,OHSU - Oregon Health Sciences University,0014000000Evinl
347,2111,OHSU : Pediatric Clinical Research Office - Acad. and Student Affairs,OHSU - Oregon Health Sciences University,0014000000Evinl
352,633,OHSU : Rheumatology,OHSU - Rheumatology,0014000000Evino
353,44,"OR Washington County, Juvenile Dept. : Juvenile Department",Washington County Juvenile Dept,0014000000F2pB1
533,1730,Oracle - Legal,Oracle,0014000000F0gA4
354,1512,Owensboro Health : Printing & Graphics,Owensboro Medical Health System,0014000000FbWgC
507,747,PECI,"Portland Energy Conservation, Inc.",0014000000G7YbY
355,2068,Pacer International - Legal : Pacer International,"Pacer International, Inc.",0014000000F0gD3
358,1922,"Palo Alto Networks, Inc. : Contracts",Palo Alto Networks,0014000000mxrpx
359,1922,"Palo Alto Networks, Inc. : HR",Palo Alto Networks,0014000000mxrpx
361,1922,"Palo Alto Networks, Inc. : Legal",Palo Alto Networks,0014000000mxrpx
357,1922,"Palo Alto Networks, Inc. : Palo Alto Networks",Palo Alto Networks,0014000000mxrpx
360,1922,"Palo Alto Networks, Inc. : Palo Alto Networks, Inc.",Palo Alto Networks,0014000000mxrpx
362,1526,Park Nicollet : Health Education,Park Nicollet Health Services,0014000000Ggo4v
366,432,Partnership Health Plan of CA : Administration,Partnership Healthplan of CA,0014000000EviWi
364,432,Partnership Health Plan of CA : Care Coordination,Partnership Healthplan of CA,0014000000EviWi
367,432,Partnership Health Plan of CA : Grievance Unit/Admin Department,Partnership Healthplan of CA,0014000000EviWi
365,432,Partnership Health Plan of CA : Health Services,Partnership Healthplan of CA,0014000000EviWi
368,432,Partnership Health Plan of CA : member services,Partnership Healthplan of CA,0014000000EviWi
371,562,PeaceHealth : Interpreter Services,"Peace Health, Oregon Region",0014000000Evins
370,562,PeaceHealth : Interpreter Services / Nursing Clinical Support,"Peace Health, Oregon Region",0014000000Evins
372,1600,Peach Tree Health Care : Marketing,Peach Tree Healthcare,0014000000ZysiQ
557,1729,Phoseon Technology,Phoseon Technology,0014000000dRMCM
373,1856,Presence Health,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
383,1856,Presence Health : Ambulatory Services,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
376,1856,Presence Health : Breakthrough Initiatives,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
378,1856,Presence Health : Community Education,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
520,1856,Presence Health : Lakeshore Region,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
380,1856,Presence Health : Marketing and Public Relations,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
381,1856,Presence Health : Mission,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
382,1856,Presence Health : Nursing Administration,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
375,1856,Presence Health : Patient Access,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
374,1856,Presence Health : Presence Life Connections,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
379,1856,Presence Health : Safety,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
384,1856,Presence Health : Saint Joseph Hospital,Resurrection Healthcare - Saint Joseph,0014000000L5Loq
551,1856,Presence Health : Saints Mary and Elizabeth Medical Center : Ambulatory Services,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
385,1856,Presence Health : Saints Mary and Elizabeth Medical Center : Patient Access,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
377,1856,Presence Health : Surgery Administration,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
564,,Presence Health Parterns: Clinical Integration,Presence Health (was Resurrection Health Care Corporation),0014000000FbWg0
386,922,Providence Hospital DC : Providence Hospital,Providence Hospital,0014000000EviaU
508,1256,Puget Sound ESD,Puget Sound ESD,0014000000QQaqA
387,2044,"Pulse Health, LLC : Pulse Health, LLC",Pulse Health,0014000000vAkDZ
505,2143,Pure Imagination LLC,Pure Imagination LLC,0014000000ySYJC
388,705,Recology : Recology Environmental Solutions,Recology (Formerly Norcal Waste),0014000000FpGOz
389,222,Red Clay School District (DE) : Red Clay Consolidated School Dist-ELL,Red Clay Consolidated SD (DE),0014000000Etpyi
562,2197,Responsive Education Solutions,Responsive Education Solutions,00140000012YC1M
390,462,Rockford Health System : Patient Relations/Interpreters,Rockford Health System,0014000000EvidI
391,706,Rockingham Memorial Hospital : Rockingham Memorial Hospital,Rockingham Memorial Hospital,0014000000FbWYX
392,1901,Rush University Medical Center : Rush University Medical Center,Rush University Medical Center,0014000000EvidJ
524,2169,SInai Health System,Sinai Health System,0014000000GeB3u
502,2152,SVMHS,Salinas Valley Memorial Hospital,0014000000F0gEv
393,2122,Saint Luke's North Hospital : Marketing,"Saint Luke's Health System, Inc.",0014000000GzSlW
395,1323,Salem Hospital : Corporate Diversity,Salem Hospital,0014000000F4LnU
396,1323,Salem Hospital : Language Access,Salem Hospital,0014000000F4LnU
397,215,San Francisco Health Plan : Marcom,San Francisco Health Plan,0014000000EviX0
513,2153,San Luis Valley Health,San Luis Valley Health (SLVH),0014000000mwgiA
398,1313,San Mateo County Health System : Health Policy and Planning,San Mateo County Health Department,0014000000EviUq
561,2195,Santa Clara Valley Water District,Santa Clara Valley Water District,0014000000FPxPf
523,2139,Sapa Tech Center,SAPA Extrusions,0014000000kax5k
399,1492,Schawk Minnesota : Schawk,"Schawk, Inc.",0014000000FQtPa
400,613,Schnitzer Steel : Human Resources,"Schnitzer Steel Industries, Inc.",0014000000F33Xh
402,1647,Scott & White Health Plan : QUALITY IMPROVEMENT,Scott & White Health Plan,0014000000EvisG
403,1647,Scott & White Health Plan : TRIOS GROUP,Scott & White Health Plan,0014000000EvisG
404,187,Scotts (Lowe's packaging) : The Design Group/Creative Serv.,Scotts Company,0014000000F33e3
407,424,Scotts Corporate : Environmental Health Safety & Security,Scotts Company,0014000000F33e3
409,424,Scotts Corporate : HR/ Benefits,Scotts Company,0014000000F33e3
406,424,Scotts Corporate : Human Resources,Scotts Company,0014000000F33e3
408,424,Scotts Corporate : PAT Committee,Scotts Company,0014000000F33e3
410,1524,SelectHealth : Marketing,"SelectHealth, Inc",0014000000HmH2K
411,2052,Sherwood Forest Elementary : Sherwood Forest Elementary,Bellevue School District (WA),0014000000Etpr7
514,2154,Sideman & Bancroft LLP,Sideman & Bancroft LLP,0014000000zQvHG
412,1170,Sims Metal Management : Communications,SIMS Metal Management,0014000000F0gFp
413,934,Southcoast Hospitals : Interpreter Services,"Southcoast Hospitals Group, Inc.",0014000000FbWgK
414,1020,Spartanburg Regional Healthcare System : Div. and Lang. Svs.,Spartanburg Regional Healthcare System,0014000000FBt6r
415,196,St John's School District (FL) : Federal Programs,St. Johns County SD (FL),0014000000Etpzo
416,1903,St Vincent General Hosp. Dist. : Marketing,St. Vincent General Hospital District,0014000000eR6Yy
417,876,St. James Hospital : Marketing,Franciscan Alliance St James Hospital & Health Ctr,0014000000FbWR4
418,1105,St. Joseph's Regional Medical Center : Patienet Relations,Saint Joseph's Regional Medical Center,0014000000Evijx
420,864,St. Jude Medical : Clinical CATD,"St. Jude Medical, Inc.",0014000000Fp8Ad
421,864,St. Jude Medical : Compliance,"St. Jude Medical, Inc.",0014000000Fp8Ad
422,864,St. Jude Medical : Compliance Office,"St. Jude Medical, Inc.",0014000000Fp8Ad
424,1589,Steward Health Care System : DIVERSITY AND INTERPRETER SERVICES,Steward Health Care System,0014000000MQWVy
425,533,"Structus Building Technologies, Inc : Marketing",Structus Building Technologies,0014000000F2pBI
428,1463,Sutter Health - Alta Bates Summit Medical : Cultural and Linguistic Services,Sutter Health,0014000000FBt8s
560,1463,Sutter Health - Alta Bates Summit Medical : IS,Sutter Health,0014000000FBt8s
427,1463,Sutter Health - Alta Bates Summit Medical : Patient Relations Risk Mgt,Sutter Health,0014000000FBt8s
429,1489,Sutter Health - Central Valley Region : Marketing and Communications,Sutter Health,0014000000FBt8s
431,1411,Sutter Health - Corporate : Care Coordination,Sutter Health,0014000000FBt8s
432,1411,Sutter Health - Corporate : Marketing,Sutter Health,0014000000FBt8s
433,1411,Sutter Health - Corporate : SHIRE,Sutter Health,0014000000FBt8s
434,1411,Sutter Health - Corporate : Sutter Rehabilitation Institute,Sutter Health,0014000000FBt8s
435,1486,Sutter Health - Memorial Hospital Los Ban : Memorial Hospital Los Banos,Sutter Health,0014000000FBt8s
437,1462,Sutter Health - Memorial Medical Center : Printing Department,Sutter Health,0014000000FBt8s
438,1462,Sutter Health - Memorial Medical Center : Printing Services,Sutter Health,0014000000FBt8s
440,1457,"Sutter Health - Mills-Peninsula : Marketing, Communications & Public Affairs",Sutter Health,0014000000FBt8s
441,1457,Sutter Health - Mills-Peninsula : Patient Relations,Sutter Health,0014000000FBt8s
442,1484,Sutter Health - Palo Alto Medical Foundat : Quality & Patient Safety,Sutter Health - Palo Alto Medical Foundation,0014000000qQgg3
443,1587,Sutter Health - Sac Sierra Region : Purchasing,Sutter Health,0014000000FBt8s
444,1854,Sutter SeniorCare : Sutter SeniorCare,Sutter Health,0014000000FBt8s
445,2095,Syntek Global : Syntek Global,Syntek Global,0014000000uFXOa
446,2012,TE Connectivity : TE Connectivity,TE Connectivity,0014000000hnNsk
447,1937,"The Cooper Companies, Inc. : The Cooper Companies, Inc.","The Cooper Companies, Inc.",0014000000FpGP0
449,1352,The Queens Medical Center : DLS - Satellite,Queen's Medical Center,0014000000Evic6
450,1352,The Queens Medical Center : Native Hawaiian Health Program,Queen's Medical Center,0014000000Evic6
452,1352,The Queens Medical Center : Transplant,Queen's Medical Center,0014000000Evic6
451,1352,The Queens Medical Center : Transplant Center,Queen's Medical Center,0014000000Evic6
453,572,The Regence Group : Marketing Communications,Regence Blue Cross Blue Shield,0014000000Eviny
457,130,Timberland : GCS,The Timberland Company,0014000000F2pPg
455,130,Timberland : Global Creative Services,The Timberland Company,0014000000F2pPg
458,130,Timberland : Marketing,The Timberland Company,0014000000F2pPg
459,130,Timberland : PRO Marketing,The Timberland Company,0014000000F2pPg
456,130,Timberland : Timberland,The Timberland Company,0014000000F2pPg
512,2155,Tricolor Auto Group,Tricolor Auto Group,0014000000ysqSC
460,1264,Trimet : Creative Services,Tri-Met,0014000000F2pMu
461,579,Trumpf - Bittner : PT2500202,"TRUMPF GmbH + Co. KG., Ditzingen",0014000000F33aL
462,582,Trumpf - Huttinger : Huettinger,"TRUMPF GmbH + Co. KG., Ditzingen",0014000000F33aL
463,1445,Trumpf - Klink : Press and Public Relations,"TRUMPF GmbH + Co. KG., Ditzingen",0014000000F33aL
464,971,Trumpf - Schmider : Marketing,TRUMPF Grüsch AG,0014000000ILlcL
466,351,UCSF : Pediatric Critical Care,UCSF Medical Center,0014000000EviXc
465,1208,Ucare : Marketing Communications,UCare Minnesota,0014000000GKZn1
467,420,United Administrative Services,United Administrative Services,0014000000EviZC
468,1382,United Way of the Plains : Marketing,United Way of the Plains,0014000000rxxTH
469,1649,Univar - Legal : Treasury,Univar USA Inc,0014000000Ev5pE
471,1081,Universal Health Services : Advertising,"Universal Health Services, Inc.",0014000000FbWWp
472,1081,"Universal Health Services : Universal Health Services, Inc.","Universal Health Services, Inc.",0014000000FbWWp
558,1853,University of Michigan Health System,University of Michigan Health Systems,0014000000lntBu
473,860,Valley Health System : HIM,Valley Health System,0014000000GSgva
474,399,Vesta Corporation,Vesta Corporation,0014000000F2pN1
475,1249,Vidant Health : Patient and Family Experience,Vidant Health,0014000000Evij5
478,1097,Wake County Schools (North Carolina) : WCPSS - ESL,Wake County PS (NC),0014000000Etq0h
477,1097,Wake County Schools (North Carolina) : Wake County Public School System,Wake County PS (NC),0014000000Etq0h
479,1056,Wal-Mart Stores : Labor Relations,"Walmart Stores, Inc.",0014000000Fwa8W
485,973,WellSpan Health Organization : Patient Education,WellSpan Health Organization,0014000000FbWhS
481,1506,Wellmark -BCBS-IA : Customer Service -Attn Elaine Palmer,Wellmark Blue Cross and Blue Shield,0014000000EvicD
482,1506,Wellmark -BCBS-IA : Group Operations- Attn Sandra Clark-Carmichael,Wellmark Blue Cross and Blue Shield,0014000000EvicD
488,1939,Whitfield County Schools : Valley Point Elementary,Whitfield County Schools,0014000000Etq10
487,1939,Whitfield County Schools : Whitfield County Schools,Whitfield County Schools,0014000000Etq10
493,124,Wieden + Kennedy : Account,"Wieden + Kennedy, Inc.",0014000000F33c7
490,124,Wieden + Kennedy : Interactive,"Wieden + Kennedy, Inc.",0014000000F33c7
492,124,Wieden + Kennedy : Project Management,"Wieden + Kennedy, Inc.",0014000000F33c7
491,124,Wieden + Kennedy : Wieden + Kennedy,"Wieden + Kennedy, Inc.",0014000000F33c7
494,142,Woman's Hospital : Woman's Hospital,Woman's Hospital,0014000000Evif0
495,1054,Woodruff-Sawyer & Company : Woodruff-Sawyer,Woodruff-Sawyer & Company,0014000000Fbi4C
498,525,Workplace Options : Product Development,Workplace Options,0014000000EviZU
497,525,Workplace Options : Workplace Options,Workplace Options,0014000000EviZU
292,1883,itracks : itracks,itracks,0014000000nSnBw
