Albanian to English,1052,1033,453054731,Localization Care,0,,1
Arabic to English (US),1025,1033,3971,All Locatrans,0,,1
Arabic to English (US),1025,1033,453054910,Bayan-Tech,0,,2
Bosnian to English (US),5146,1033,453054731,Localization Care,0,,1
Chinese to English (US),1028,1033,3857,1-Stop Translation,0,,6
Chinese to English (US),1028,1033,3943,Asian Trans World,0,,7
Chinese to English (US),1028,1033,3732,"Liu, Claire Yun-fang",0,,5
Chinese to English (US),1028,1033,453054906,"Liu, Xin",0,,4
Chinese to English (US),1028,1033,453054819,"Pals, Liming",0,,1
Chinese to English (US),1028,1033,453055213,"Wong, Johnson",0,,3
Chinese to English (US),1028,1033,453055290,"Zhou, Joe",0,,2
Chinese-Simp to Chinese-Trad,2052,1028,453054906,"Liu, Xin",0,,2
Croatian to English (US),1050,1033,453054731,Localization Care,0,,1
Czech to English (US),1029,1033,2040,Czech Translations,0,,1
Czech to English (US),1029,1033,453054896,"Fislova, Dasha",0,,2
Danish to English (US),1030,1033,453054984,Apro Translation,0,,1
Dari to English (US),1164,1033,453054910,Bayan-Tech,0,,1
Dutch to English (US),1043,1033,453054684,"De Vogelaere, Tom",0,,1
Dutch to English (US),1043,1033,453054866,"Placke, Saskia",0,,2
Dutch to German,1043,1031,453054667,Letras Language Solutions S.L,0,,1
English to Afrikaans,1033,1078,3971,All Locatrans,0,,1
English to Afrikaans,1033,1078,453054910,Bayan-Tech,0,,2
English to Albanian,1033,1052,3904,"Kita, Ledia",0,,2
English to Albanian,1033,1052,453054731,Localization Care,0,,1
English to Amharic,1033,1118,3971,All Locatrans,0,,1
English to Amharic,1033,1118,453054910,Bayan-Tech,0,,2
English to Arabic,1033,1025,3971,All Locatrans,0,,2
English to Arabic,1033,1025,453054910,Bayan-Tech,0,,3
English to Arabic,1033,1025,453054762,CONTENTECH - wire,0,,1
English to Arabic,1033,1025,3384,IndicTrans Multi-Ligual Solutions,0,,4
English to Armenian,1033,1067,3971,All Locatrans,0,,2
English to Armenian,1033,1067,453054693,Janus WWI,0,,1
English to Assamese,1033,1101,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Assamese,1033,1101,453054669,Webdunia Inc.,0,,1
English to Azeri- Latin,1033,1068,453054693,Janus WWI,0,,1
English to Belarusian,1033,1059,453054731,Localization Care,0,,1
English to Bengali,1033,1093,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Bengali,1033,1093,453054669,Webdunia Inc.,0,,1
English to Bosnian,1033,5146,453054833,"ASPENA, s.r.o.",0,,1
English to Bosnian,1033,5146,453054731,Localization Care,0,,2
English to Bulgarian,1033,1026,453054733,Ando Translations,0,,1
English to Bulgarian,1033,1026,453054833,"ASPENA, s.r.o.",0,,2
English to Bulgarian,1033,1026,453055096,Diskusija,0,,3
English to Burmese/Myanmar,1033,1109,4008,Vinatranet,0,,1
English to Catalan,1033,1027,3945,Hermes Traducciones y Servicios Linguist.,0,,1
English to Catalan,1033,1027,453054719,Urban Translation Services,1546,Hewlett-Packard Company,2
English to Chinese (Cantonese),1033,5124,3943,Asian Trans World,0,,1
English to Chinese (Simp),1033,2052,3857,1-Stop Translation,0,,4
English to Chinese (Simp),1033,2052,3943,Asian Trans World,0,,1
English to Chinese (Simp),1033,2052,453054704,Beyondsoft Corporation,0,,2
English to Chinese (Simp),1033,2052,453054906,"Liu, Xin",0,,5
English to Chinese (Simp),1033,2052,453054952,Master Translation Services (MTS),0,,3
English to Chinese (Simp),1033,2052,453054888,Paramount Culture Communication,0,,6
English to Chinese (Simp),1033,2052,453054674,Tranda Globalization,0,,7
English to Chinese (Trad),1033,1028,3857,1-Stop Translation,0,,4
English to Chinese (Trad),1033,1028,3943,Asian Trans World,0,,1
English to Chinese (Trad),1033,1028,453054704,Beyondsoft Corporation,0,,2
English to Chinese (Trad),1033,1028,453054906,"Liu, Xin",0,,6
English to Chinese (Trad),1033,1028,453054952,Master Translation Services (MTS),0,,3
English to Chinese (Trad),1033,1028,453054888,Paramount Culture Communication,0,,5
English to Chuukese/Trukese,1033,1068,453054948,"Parsons, Jill",0,,1
English to Chuukese/Trukese,1033,1068,3987,Taafaki,0,,2
English to Creole (Haiti),1033,1127,453054757,"Berret, Jean-Evens",0,,1
English to Creole (Haiti),1033,1127,3693,"Davis, Leila",0,,2
English to Croatian,1033,1050,453054833,"ASPENA, s.r.o.",0,,2
English to Croatian,1033,1050,453054731,Localization Care,0,,1
English to Czech,1033,1029,453054733,Ando Translations,0,,2
English to Czech,1033,1029,453054833,"ASPENA, s.r.o.",0,,3
English to Czech,1033,1029,2040,Czech Translations,0,,5
English to Czech,1033,1029,453054693,Janus WWI,0,,4
English to Czech,1033,1029,453054731,Localization Care,0,,1
English to Danish,1033,1030,453054984,Apro Translation,0,,2
English to Danish,1033,1030,453054667,Letras Language Solutions S.L,0,,3
English to Danish,1033,1030,453055206,Vanenberg Translations,0,,5
English to Danish,1033,1030,3212,Wordbusters Translations,0,,1
English to Danish,1033,1030,453055118,NordicTrans,1730,Oracle - Legal,4
English to Dari,1033,1164,3971,All Locatrans,0,,1
English to Dari,1033,1164,453054910,Bayan-Tech,0,,2
English to Dutch (Netherlands),1033,1043,453054703,AzTech Solutions,0,,2
English to Dutch (Netherlands),1033,1043,453055278,DE-office,0,,1
English to Dutch (Netherlands),1033,1043,3972,DoDutch Productions Inc.,0,,3
English to Dutch (Netherlands),1033,1043,453054707,Helena Technical Translations B.V.,0,,4
English to Dutch (Netherlands),1033,1043,453054866,"Placke, Saskia",0,,5
English to English (Australia),1033,3081,453054706,Surrey Translation Bureau,0,,1
English to English (UK),1033,2057,2565,"Edwards, Mary",0,,2
English to English (UK),1033,2057,453054706,Surrey Translation Bureau,0,,1
English to Estonian,1033,1061,453055096,Diskusija,0,,2
English to Estonian,1033,1061,453054849,Swesteng Languages OÜ,0,,3
English to Estonian,1033,1061,453054666,Translingua,0,,1
English to Farsi (Persian),1033,1065,3971,All Locatrans,0,,2
English to Farsi (Persian),1033,1065,453054910,Bayan-Tech,0,,3
English to Farsi (Persian),1033,1065,453054762,CONTENTECH - wire,0,,1
English to Farsi (Persian),1033,1065,3384,IndicTrans Multi-Ligual Solutions,0,,4
English to Finnish,1033,1035,453054984,Apro Translation,0,,2
English to Finnish,1033,1035,453054667,Letras Language Solutions S.L,0,,5
English to Finnish,1033,1035,453055206,Vanenberg Translations,0,,4
English to Finnish,1033,1035,3212,Wordbusters Translations,0,,1
English to Finnish,1033,1035,453055118,NordicTrans,1730,Oracle - Legal,3
English to Flemish,1033,2067,453055278,DE-office,0,,1
English to Flemish,1033,2067,453054707,Helena Technical Translations B.V.,0,,2
English to Flemish,1033,2067,453055118,NordicTrans,0,,3
English to French (Canada),1033,3084,1759,AMMACOM,0,,1
English to French (Canada),1033,3084,453054956,Lebras Translations,0,,2
English to French (Canada),1033,3084,453055243,"Provencher, Monique",0,,3
English to French (Europe),1033,1036,453054717,French Translation Services Ltd.,0,,5
English to French (Europe),1033,1036,3867,LCI Bretagne,0,,4
English to French (Europe),1033,1036,453054956,Lebras Translations,0,,1
English to French (Europe),1033,1036,453054887,"Lefebvre, Thomas",0,,3
English to French (Europe),1033,1036,3874,Lemon Tree Snc,0,,2
English to French (Europe),1033,1036,453055239,"Vindras, Fabien",0,,6
English to Fula,1033,2151,3971,All Locatrans,0,,1
English to Fula,1033,2151,453054910,Bayan-Tech,0,,2
English to Georgian,1033,1079,453054693,Janus WWI,0,,1
English to German,1033,1031,453054877,Business Valkyries,0,,3
English to German,1033,1031,3874,Lemon Tree Snc,0,,2
English to German,1033,1031,453055246,"Munch, David",0,,4
English to German,1033,1031,453054715,Rheinschrift Übersetzungen,0,,1
English to Greek,1033,1032,3934,ALPHABET Translation and Interpreting,0,,4
English to Greek,1033,1032,2956,Kezios Translations,0,,3
English to Greek,1033,1032,453054712,Technical Translations,0,,1
English to Greek,1033,1032,453054805,"Triantaphyllou, Costas",0,,2
English to Gujarati,1033,1095,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Gujarati,1033,1095,453054669,Webdunia Inc.,0,,1
English to Hausa,1033,1128,3971,All Locatrans,0,,1
English to Hausa,1033,1128,453054910,Bayan-Tech,0,,2
English to Hebrew,1033,1037,453054910,Bayan-Tech,0,,2
English to Hebrew,1033,1037,453054762,CONTENTECH - wire,0,,1
English to Hebrew,1033,1037,453055116,Targem Translations,0,,3
English to Hiligaynon/Ilonggo,1033,1006,3991,Qwertyworks Touchbase,0,,1
English to Hindi,1033,1081,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Hindi,1033,1081,453054669,Webdunia Inc.,0,,1
English to Hmong,1033,1129,453055192,"Chang, Yee",0,,3
English to Hmong,1033,1129,453054952,Master Translation Services (MTS),0,,1
English to Hmong,1033,1129,4008,Vinatranet,0,,2
English to Hungarian,1033,1038,453054733,Ando Translations,0,,1
English to Hungarian,1033,1038,453054833,"ASPENA, s.r.o.",0,,2
English to Hungarian,1033,1038,453054727,e-spire Bt.,0,,4
English to Hungarian,1033,1038,453054731,Localization Care,0,,3
English to Icelandic,1033,1039,453054984,Apro Translation,0,,1
English to Icelandic,1033,1039,453055244,"OneDocument, S.L.",0,,2
English to Igbo,1033,1136,3971,All Locatrans,0,,1
English to Igbo,1033,1136,453054910,Bayan-Tech,0,,2
English to Ilokano,1033,1140,3991,Qwertyworks Touchbase,0,,1
English to Ilokano,1033,1140,3946,Rose Leilani,0,,2
English to Indonesian,1033,1057,3857,1-Stop Translation,0,,4
English to Indonesian,1033,1057,3943,Asian Trans World,0,,3
English to Indonesian,1033,1057,453054674,Tranda Globalization,0,,2
English to Indonesian,1033,1057,4008,Vinatranet,0,,1
English to Italian,1033,1040,1024,"Amadio, Michael",0,,3
English to Italian,1033,1040,453055219,"Bonelli, Costanza",0,,4
English to Italian,1033,1040,3874,Lemon Tree Snc,0,,2
English to Italian,1033,1040,453055221,"Rossa, Marina",0,,5
English to Italian,1033,1040,1786,"Translation Source, Ltd.",0,,6
English to Italian,1033,1040,453055248,UBIK srl,0,,1
English to Japanese,1033,1041,453054950,Asial10n,0,,1
English to Japanese,1033,1041,3943,Asian Trans World,0,,2
English to Kannada,1033,1099,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Kannada,1033,1099,453054669,Webdunia Inc.,0,,1
"English to Karen, S’gaw",1033,1110,4008,Vinatranet,0,,1
English to Kashmiri,1033,2144,453054669,Webdunia Inc.,0,,1
English to Kazakh,1033,1087,453054693,Janus WWI,0,,1
English to Khmer (Cambodian),1033,1107,3921,Cromie Thailai Translation,0,,1
English to Khmer (Cambodian),1033,1107,453055116,Targem Translations,0,,3
English to Khmer (Cambodian),1033,1107,4008,Vinatranet,0,,2
English to Kinyarwanda/Rwanda,1033,1159,3971,All Locatrans,0,,1
English to Kinyarwanda/Rwanda,1033,1159,453054910,Bayan-Tech,0,,2
English to Kirundi/Rundi,1033,1007,3971,All Locatrans,0,,1
English to Kirundi/Rundi,1033,1007,453054910,Bayan-Tech,0,,2
English to Konkani,1033,1111,453054669,Webdunia Inc.,0,,1
English to Korean,1033,1042,3857,1-Stop Translation,0,,1
English to Korean,1033,1042,453054950,Asial10n,0,,3
English to Korean,1033,1042,3943,Asian Trans World,0,,2
English to Korean,1033,1042,3384,IndicTrans Multi-Ligual Solutions,0,,4
"English to Kurdish, Central (Sorani)",1033,1170,3971,All Locatrans,0,,1
"English to Kurdish, Central (Sorani)",1033,1170,453054910,Bayan-Tech,0,,2
English to Lao,1033,1108,3921,Cromie Thailai Translation,0,,2
English to Lao,1033,1108,4008,Vinatranet,0,,1
English to Latvian,1033,1062,453055096,Diskusija,0,,2
English to Latvian,1033,1062,453054849,Swesteng Languages OÜ,0,,3
English to Latvian,1033,1062,453054666,Translingua,0,,1
English to Lingala (Ngala),1033,10081,3971,All Locatrans,0,,1
English to Lingala (Ngala),1033,10081,453054910,Bayan-Tech,0,,2
English to Lithuanian,1033,1063,453054833,"ASPENA, s.r.o.",0,,2
English to Lithuanian,1033,1063,453055096,Diskusija,0,,3
English to Lithuanian,1033,1063,453054849,Swesteng Languages OÜ,0,,4
English to Lithuanian,1033,1063,453054666,Translingua,0,,1
English to Luxembourgish,1033,1134,453055244,"OneDocument, S.L.",0,,1
English to Maay (Mai Mai),1033,1080,3906,"Allin, Karim",0,,1
English to Macedonian,1033,1071,453054833,"ASPENA, s.r.o.",0,,2
English to Macedonian,1033,1071,453054731,Localization Care,0,,1
English to Malagasy,1033,2129,453055207,"Rambikarison, Romuald",0,,1
English to Malay,1033,1086,453054950,Asial10n,0,,3
English to Malay,1033,1086,3943,Asian Trans World,0,,2
English to Malay,1033,1086,453054910,Bayan-Tech,0,,5
English to Malay,1033,1086,3384,IndicTrans Multi-Ligual Solutions,0,,4
English to Malay,1033,1086,453054674,Tranda Globalization,0,,6
English to Malay,1033,1086,4008,Vinatranet,0,,1
English to Malayalam,1033,1100,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Malayalam,1033,1100,453054669,Webdunia Inc.,0,,1
English to Mandinka,1033,10091,3971,All Locatrans,0,,1
English to Marathi,1033,1102,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Marathi,1033,1102,453054669,Webdunia Inc.,0,,1
English to Marshallese,1033,1084,3897,"Alik, Carmina",0,,1
English to Marshallese,1033,1084,453055268,"Beti, Bellis",0,,3
English to Marshallese,1033,1084,453055194,"Brian, Bemy",1720,BI Worldwide,2
English to Mien,1033,1088,2384,"Lee, Jovi",0,,1
English to Moldovan,1033,2072,453054693,Janus WWI,0,,1
English to Mongolian,1033,1104,4008,Vinatranet,0,,1
English to Nepali,1033,1121,3384,IndicTrans Multi-Ligual Solutions,0,,2
English to Nepali,1033,1121,453054669,Webdunia Inc.,0,,1
English to Norwegian (Bokmål),1033,1044,453054984,Apro Translation,0,,1
English to Norwegian (Bokmål),1033,1044,453054667,Letras Language Solutions S.L,0,,5
English to Norwegian (Bokmål),1033,1044,453054881,"Richards, Helene Olsen",0,,6
English to Norwegian (Bokmål),1033,1044,453055206,Vanenberg Translations,0,,3
